Year,Month,Date,Day,Temps_min,Temps_max,Rain,Evap,Sun_hours,Max_wind_dir,Max_wind_spd,Max_wind_time,Temp_at_9am,RH_at_9am,CLD_at_9am,Wind_dir_at_9am,Wind_spd_at_9am,MSLP_at_9am,Temp_at_3pm,RH_at_3pm,CLD_at_3pm,Wind_dir_at_3pm,Wind_spd_at_3pm,MSLP_at_3pm
2015,9,17,Th,12.2,19.9,0,4.2,8.2,S,43,11:24,18,53,3,WNW,9,1018.4,17.7,57,7,SE,28,1018.3
2015,9,18,Fr,13.6,20,2.2,6.4,7.7,S,52,10:05,15.8,65,5,S,20,1026.2,18.9,44,2,S,26,1025.5
2015,9,19,Sa,12.5,19.5,10.8,5.4,7.3,E,33,10:41,14.7,88,7,W,17,1026.5,18.1,54,6,ESE,24,1023.9
2015,9,20,Su,12.5,18.6,0.4,4,3.4,ENE,37,9:36,16.6,62,5,W,11,1024.5,17.4,72,7,E,13,1021.7
2015,9,21,Mo,12.4,22.5,0.2,1.6,10.4,SSW,35,20:21,16.3,74,1,W,15,1019.9,21.3,60,2,NE,15,1015.2
2015,9,22,Tu,14.6,19.5,0.2,6.2,9.2,SSW,59,11:35,18.7,36,3,SW,24,1016.8,17.8,47,2,S,37,1017.5
2015,9,23,We,10,16.2,0.2,8.8,6.5,S,69,11:25,13.3,55,3,SSW,31,1025.5,11.7,74,7,SSW,35,1025.4
2015,9,24,Th,8.3,16.3,3.2,4,6.1,S,65,9:28,13,63,7,SSW,22,1025.6,13.6,62,7,SSW,28,1024.6
2015,9,25,Fr,10.1,16.4,31.8,2.8,4.3,S,54,13:37,13.4,91,7,S,13,1029.3,15.9,63,7,SSE,26,1027.8
2015,9,26,Sa,11.1,20.1,3.4,4.4,7.7,S,43,17:52,14.4,86,6,W,22,1028.5,18.4,48,3,SSE,24,1025.4
2015,9,27,Su,12.3,19.2,3.6,3.8,6.2,SW,46,11:36,15.3,70,7,SW,20,1023.7,18.3,51,7,S,20,1021.1
2015,9,28,Mo,10.9,20.8,0.2,4.2,11,W,28,0:27,17.3,56,1,W,15,1021.1,19.1,49,1,ESE,17,1017.8
2015,9,29,Tu,11.9,23.4,0,5.8,3.4,NW,50,18:35,19.1,58,0,N,15,1019.5,21.7,55,1,NE,17,1015.8
2015,9,30,We,16.7,21.4,0,5.6,6.4,SSE,33,7:44,21,57,7,SSE,17,1022.1,18.7,62,7,ESE,20,1021.4
2015,10,1,Th,16.8,22.9,0,5.6,9.6,ENE,33,13:01,19.9,68,4,W,6,1026.4,21.7,65,1,E,24,1022.8
2015,10,2,Fr,16.5,23,0,4.8,10.5,SSE,33,4:13,21.3,57,1,NNW,4,1033.4,21.1,57,1,ENE,24,1031.8
2015,10,3,Sa,14.2,27.5,0,7.2,11.1,E,22,12:26,21.5,62,0,W,13,1030.6,27.3,47,1,E,11,1024.7
2015,10,4,Su,19.8,33.8,0,8,8.2,WSW,46,13:41,26.4,28,7,W,4,1023.4,32.6,13,7,W,28,1021.8
2015,10,5,Mo,16.1,37,0,11,11.4,S,20,23:31,21.1,42,1,WNW,11,1024,35.6,16,7,E,11,1021.1
2015,10,6,Tu,20.3,32.3,0,8.6,11.4,NNE,43,16:22,23.8,37,1,WNW,15,1023.2,30.6,26,1,ENE,17,1019.7
2015,10,7,We,19.7,21.5,0,13.2,1.3,SSW,67,4:20,20.3,61,5,SSE,39,1029.6,19,56,7,SE,26,1033.6
2015,10,8,Th,17,21.1,0,6.6,2.2,ENE,35,12:53,18.5,53,7,ESE,13,1038.8,19.9,57,7,E,20,1036
2015,10,9,Fr,16.8,22.7,0,5.4,8.7,ENE,43,15:35,20.1,51,7,N,15,1034.4,22,51,5,NE,24,1029.7
2015,10,10,Sa,15.7,24.3,0,6.8,9.5,E,24,13:04,21.2,62,1,SE,2,1028.9,22.3,60,4,E,17,1025.8
2015,10,11,Su,15,24.3,0,5.6,6.4,W,41,21:03,18.7,77,6,WNW,9,1022.7,21.4,65,7,ENE,11,1018.6
2015,10,12,Mo,16.5,29.5,3.6,5,9.6,SSE,43,20:24,22.7,50,1,WSW,11,1016.7,23.4,55,6,NE,19,1012.4
2015,10,13,Tu,17.5,20.4,1.6,7.8,0.8,SSW,37,6:58,18.3,82,4,S,20,1022.3,19.8,77,8,ESE,20,1022.3
2015,10,14,We,16.9,23.3,3.4,1.4,8.3,NE,37,14:50,20.1,75,7,W,6,1026.8,22.7,60,1,NE,20,1025.2
2015,10,15,Th,16.3,24,0,7,12,NE,44,16:32,21.6,65,1,NNE,13,1026.2,23.1,63,0,ENE,30,1022
2015,10,16,Fr,17.3,27.5,0,6.8,11.9,NNE,43,17:43,23.3,60,0,ESE,6,1021.7,27.3,52,1,E,20,1018.7
2015,10,17,Sa,19.1,26,0,9.8,9.7,SSE,31,6:28,21.5,66,1,SSE,17,1023.1,23,64,4,ESE,15,1021.4
2015,10,18,Su,18.8,23.2,1.4,7.2,3.8,SSE,35,7:41,19.5,69,8,SE,17,1029.2,22.1,56,7,E,15,1027.9
2015,10,19,Mo,19.4,24.6,0.2,4.2,8.2,NE,39,14:54,21.8,81,7,N,11,1026.6,24.4,54,4,ENE,24,1022.4
2015,10,20,Tu,18.7,26.8,0.4,6.8,7.7,W,35,16:51,23.7,60,2,SE,6,1020.6,26,55,2,ENE,15,1016.3
2015,10,21,We,19.7,27.9,1,7.6,3.4,NNE,31,20:38,24.5,58,4,WNW,2,1013.8,26.3,43,7,W,9,1011.5
2015,10,22,Th,18.6,20.5,8.4,5,0.7,S,61,14:54,19.6,89,7,S,11,1011.4,20.1,74,7,SSW,31,1010.3
2015,10,23,Fr,14.5,21.4,14.8,2.8,3.4,SSW,41,0:22,16.6,70,7,SSW,19,1022.1,19.4,55,7,SSW,17,1021.6
2015,10,24,Sa,12.9,22.3,0.2,4.6,12,ENE,39,16:38,17.8,62,5,WNW,13,1024.4,20.7,54,1,ENE,26,1020.9
2015,10,25,Su,15.2,24.9,0,7.4,10.2,NE,43,15:39,21.1,62,2,E,7,1022.1,22.3,59,3,NE,19,1017.8
2015,10,26,Mo,17.5,29.4,0,7,5.2,WSW,69,13:16,24.6,54,3,ESE,9,1014.4,22.2,53,7,WSW,13,1015.1
2015,10,27,Tu,15.5,19.6,7.6,7.8,2,S,54,1:15,16.5,65,8,S,19,1025.8,19.3,47,7,SSE,30,1025.8
2015,10,28,We,13.4,21.2,0.4,3.8,8.2,SSE,31,0:03,16.4,70,7,W,9,1025.3,20.6,45,5,E,20,1022.5
2015,10,29,Th,15.7,23,0,5.4,11.4,E,31,13:20,18.2,55,5,WNW,7,1023.6,21.9,40,1,E,22,1022.1
2015,10,30,Fr,14.1,23.1,0,8,9.3,ENE,39,16:13,19,59,1,W,7,1023.8,21.8,48,7,NE,24,1020.8
2015,10,31,Sa,17.1,24.2,0,8,5.7,NE,48,13:58,22.2,59,7,NE,19,1021.8,22.5,61,8,NE,28,1018.6
2015,11,1,Su,17.5,26.8,0,7.8,9,NE,44,15:57,21.9,67,1,E,15,1015.2,25.4,59,3,NE,17,1010.6
2015,11,2,Mo,18.2,30.7,26,6.6,9.1,WSW,46,23:34,21.6,75,5,NW,13,1011.2,26.4,53,5,E,15,1009
2015,11,3,Tu,18.6,20,1.4,6.8,0,S,35,5:48,19,91,8,SSE,19,1017,19.2,89,8,SE,17,1016.5
2015,11,4,We,17.1,19.6,3.8,1.4,0,E,56,12:46,19.5,91,8,ESE,24,1017.6,19.4,83,8,E,31,1016.3
2015,11,5,Th,16,23.4,13,0,0.7,ENE,50,8:11,18.2,94,8,NE,30,1014.8,20.5,80,8,NE,26,1010.5
2015,11,6,Fr,18.2,28.3,11.6,3.2,5.2,S,33,13:04,23.3,77,4,W,9,1007.7,20.5,87,7,NE,13,1006.3
2015,11,7,Sa,18.4,24.6,10,5.6,5.3,SSE,46,18:32,22.5,69,3,ESE,9,1012.3,21.8,69,7,ESE,28,1012.3
2015,11,8,Su,16.2,21.7,0.4,7.2,4.6,SSW,46,9:21,18,67,7,SSW,17,1020.7,20.4,65,6,SSE,26,1020
2015,11,9,Mo,13.7,23.3,0,6.4,12.3,E,30,16:09,19.5,59,5,W,11,1021.3,21.8,48,1,E,17,1017.5
2015,11,10,Tu,15.2,25.6,0,6,11.3,ENE,30,14:28,20.6,61,3,S,2,1016,24.8,45,7,ENE,19,1013.5
2015,11,11,We,18.9,23.9,0,8.6,0,SSW,31,0:35,20,82,7,S,13,1020.3,22.1,66,7,ESE,11,1020.3
2015,11,12,Th,18.3,25.5,2.4,,4.2,NNE,43,9:44,23.5,53,7,NNE,17,1020.4,22.2,69,8,ENE,17,1018
2015,11,13,Fr,18,28.8,0.4,8.4,7.4,SSW,48,15:14,22.7,63,1,W,7,1013.1,23.3,60,7,NE,6,1009.8
2015,11,14,Sa,17.7,20.1,18.2,9,0,SSE,33,0:54,18.7,81,8,S,15,1014.4,18.9,70,8,ESE,19,1013.4
2015,11,15,Su,14.9,20.9,29.6,2.2,0.8,SSW,46,12:29,18.2,64,7,SSE,24,1017.7,18.5,70,7,S,19,1017.4
2015,11,16,Mo,14.3,22.6,5,4.4,13,ESE,31,11:27,19.1,56,5,SSE,17,1020,21.7,43,1,ESE,20,1018
2015,11,17,Tu,14.4,25.1,0,8,12.6,NNE,44,17:24,20.2,55,0,W,6,1019.1,23.7,46,2,NE,22,1016
2015,11,18,We,17.4,36.5,0,11,13,SSW,57,19:33,25.1,45,5,W,11,1013.6,35.6,17,1,W,22,1009.7
2015,11,19,Th,18.8,31.2,0,10.4,12.5,SSW,28,23:12,23.1,62,1,W,9,1015,28.6,54,4,E,17,1011.7
2015,11,20,Fr,21.4,40.9,0,8.8,12.4,W,54,15:13,25.2,63,1,SW,2,1012.5,40.7,13,1,WNW,28,1006.3
2015,11,21,Sa,20.3,22.1,0,14.6,0.3,S,54,23:35,20.8,65,7,SE,13,1015.6,20.7,56,7,SE,24,1017.3
2015,11,22,Su,19,22.4,0,6.2,2.7,NNE,33,16:59,19.8,59,7,E,17,1019.7,20.8,58,8,ENE,17,1016.7
2015,11,23,Mo,17.1,26.5,0,3.8,11.5,SSE,52,15:31,22.4,60,1,WNW,11,1011.9,25.4,52,2,SE,30,1010.8
2015,11,24,Tu,18.7,25.2,0,8,11.4,NE,52,18:38,23.6,57,4,ENE,13,1017.4,23,55,1,NE,28,1014.1
2015,11,25,We,17.3,32.7,0,9,,NNE,50,17:11,22.4,62,1,W,9,1013.1,28.7,44,0,NNE,24,1007.4
2015,11,26,Th,22.4,37.8,0,12.6,9.6,W,74,14:27,32.4,31,1,NNW,28,999.8,36,14,2,W,35,1000
2015,11,27,Fr,16.5,22.6,0.6,14.6,7.1,ENE,37,14:45,21.1,54,7,SE,4,1016.1,21.6,60,4,ESE,22,1013.8
2015,11,28,Sa,19.1,23.8,0,7.4,0.3,ENE,37,12:31,21.5,69,8,ENE,20,1016.7,22.5,55,8,NE,17,1016
2015,11,29,Su,19.9,26,0,6.4,7.1,ENE,43,15:21,21.1,80,7,NNE,17,1013.7,25.1,65,2,NE,22,1009.7
2015,11,30,Mo,18.2,26.3,0.2,7.4,11.1,S,48,0:07,21.1,65,4,WSW,7,1012.4,23.8,65,1,E,22,1008.7
2015,12,1,Tu,19,33.3,0,8,10.4,S,63,22:29,26.3,58,1,ESE,9,1010.3,32,34,5,NE,31,1006.7
2015,12,2,We,19.2,22.8,0,14.2,5.3,SSE,61,12:50,21,66,7,S,22,1015.1,19.4,59,7,S,35,1017
2015,12,3,Th,17.1,21.7,0,9.2,8.1,ESE,31,13:27,19.4,52,7,ESE,11,1027.1,20.3,49,5,ESE,20,1026
2015,12,4,Fr,14.6,23.6,0,6.4,9.3,E,28,12:57,20.3,53,4,WNW,6,1026.3,22.8,44,3,E,19,1024.1
2015,12,5,Sa,15.5,24.9,0,8,,NE,39,14:42,21,56,1,W,7,1022.6,24.1,52,1,NE,20,1018.9
2015,12,6,Su,16.6,25.8,0,9,12.7,ENE,35,17:23,23,58,3,SE,7,1020.5,24.9,46,5,ENE,24,1017.8
2015,12,7,Mo,18.8,25.5,0,9.2,7.9,E,39,15:47,23.2,61,7,ESE,9,1021.4,24.1,57,7,E,22,1019.9
2015,12,8,Tu,20.9,25,0,7.6,0.3,NE,43,17:29,22.7,68,7,NE,11,1018.6,24.4,64,7,ENE,17,1015.8
2015,12,9,We,21.3,33.3,0.8,4.6,8.6,S,61,19:37,24.6,70,5,NNE,7,1014.2,27.5,58,3,ENE,17,1012.1
2015,12,10,Th,20.2,25.5,15.2,10,6.4,SSW,44,23:10,21.3,80,7,S,7,1015.9,25,63,3,E,19,1011.7
2015,12,11,Fr,21.2,35.3,0.2,6.4,8.8,W,59,12:47,24.4,66,3,W,17,1005.8,34.7,13,7,WNW,30,1001.1
2015,12,12,Sa,18.4,22.6,0,12.2,5.8,ESE,39,13:04,20.8,57,3,E,15,1014.7,21.4,50,4,ESE,28,1015.1
2015,12,13,Su,18.2,24.4,0,7.6,6.5,NE,48,13:09,21.4,58,5,NE,19,1019.3,23.2,56,7,NE,30,1016.1
2015,12,14,Mo,18.3,29.6,0,8,13.1,ENE,28,11:55,23.4,63,3,WNW,9,1015.4,25.5,59,3,E,19,1013.4
2015,12,15,Tu,20.6,26.9,0,10,5.7,ENE,43,15:04,23.1,72,6,ENE,11,1015.3,25,65,8,ENE,22,1012.5
2015,12,16,We,21.1,23.4,0.6,5.4,1.8,SSE,80,12:35,22.9,87,7,NE,22,1014.8,18.2,82,8,N,13,1016.7
2015,12,17,Th,16.6,26.1,9.8,,12,E,37,15:25,21.6,70,4,WNW,9,1018.5,24.6,60,1,E,24,1016.9
2015,12,18,Fr,19,27.5,0,13.6,12.3,NNE,46,18:19,24.5,58,0,E,15,1016.8,27.1,53,1,ENE,30,1014
2015,12,19,Sa,20.3,29,0,9.4,13.2,NE,52,18:44,26.3,59,1,ESE,9,1014.6,27.5,53,1,NE,20,1012.8
2015,12,20,Su,19.9,30.3,0,13,,NE,56,17:29,24.6,61,1,E,11,1013.4,28.5,52,1,NNE,31,1008.7
2015,12,21,Mo,23.6,29.1,0,14,3.6,SSE,50,17:15,27.1,56,6,ENE,7,1014.8,21.5,79,8,S,22,1017.2
2015,12,22,Tu,17.7,21.8,29.8,4.4,0,ESE,44,17:50,17.8,89,8,SSW,19,1023.2,17.7,90,8,NE,2,1021.5
2015,12,23,We,17.3,23,34,3.6,4.5,ESE,31,23:13,21.8,65,7,SE,13,1019.4,22,59,7,ESE,22,1017.7
2015,12,24,Th,16.9,24.6,1,5,9.5,E,37,18:06,21.6,60,4,ESE,20,1019.9,23.9,52,2,ESE,20,1018.7
2015,12,25,Fr,17.5,25.2,0,7,9.6,ENE,35,15:09,21.8,55,5,ENE,4,1018.7,24.5,48,4,E,20,1015.4
2015,12,26,Sa,18.8,26.1,0.6,7.4,6.1,NE,39,10:39,22.7,74,5,N,17,1009.7,23.4,77,7,NE,17,1006
2015,12,27,Su,17.1,23,1.8,8.8,5.7,S,59,0:48,17.1,74,8,SSE,22,1016.7,22.3,47,1,S,28,1018.4
2015,12,28,Mo,15.3,22.6,2.6,5.8,4.8,SSW,44,10:25,16.7,78,7,SW,20,1023.7,21.6,50,7,SSE,24,1023
2015,12,29,Tu,15.4,24.9,0.2,7.4,12.5,SSE,35,8:19,21.2,51,6,SE,20,1022.4,24.1,38,1,ESE,22,1020.7
2015,12,30,We,15,25.6,0,7.4,13.1,ESE,26,11:52,20.2,60,0,NW,6,1019.9,23.7,50,1,E,19,1018.7
2015,12,31,Th,17.4,26.7,0,8,12.7,,,,21.3,62,1,WNW,9,1019.4,24.2,52,5,E,24,1016.8
2016,1,1,Fr,17.9,25.6,0,11,12.3,E,35,15:42,22.9,57,6,SSW,2,1016.4,24.2,52,4,E,28,1013.7
2016,1,2,Sa,18,25.4,0,6.8,3.3,ESE,28,13:35,22.3,60,7,Calm,0,1013.4,23.5,51,7,ESE,19,1012.3
2016,1,3,Su,20.2,24.6,0,8,0,SE,44,12:36,22.2,63,8,SSE,20,1015.2,19.9,84,8,SE,22,1014.7
2016,1,4,Mo,18.6,23.6,15,6.4,0.7,ESE,46,12:38,18.8,86,8,ESE,6,1016.8,19.1,89,8,ESE,7,1016.3
2016,1,5,Tu,17.8,20.3,34.2,0,0,ESE,54,8:42,19.1,87,8,SE,26,1016.5,19.5,87,8,SE,26,1014.6
2016,1,6,We,17.4,18.6,51.4,8,0,SE,48,8:48,18.2,92,8,SE,19,1012.3,17.9,91,8,SSE,20,1011.6
2016,1,7,Th,16.5,24.4,41.4,2,7.6,,,,18.1,91,7,SSW,22,1014,21,66,7,SSW,24,1015.8
2016,1,8,Fr,15.5,25.4,0.4,6.6,12.1,,,,20.6,58,,NW,4,1020.1,24.1,53,1,E,19,1019
2016,1,9,Sa,18.5,25.5,0,7,8.6,ENE,31,16:45,21.2,71,5,N,2,1021.9,24.5,52,6,E,22,1018.8
2016,1,10,Su,18.5,27.1,0,8,12.2,ENE,41,15:48,22.9,67,3,W,9,1020.4,26.2,53,1,ENE,26,1017.5
2016,1,11,Mo,20.5,31.6,0,9,12.1,E,28,12:14,24.5,69,1,ESE,7,1013.3,31.1,52,1,E,15,1009.1
2016,1,12,Tu,23.5,34,0,10.6,4.4,S,52,15:28,26.5,56,6,W,2,1010.4,25.9,70,7,SSE,24,1012.1
2016,1,13,We,21.3,31,0,6,11,NE,37,16:11,23.2,69,3,NNE,4,1019.7,26.7,59,1,E,28,1016.2
2016,1,14,Th,22.7,39.2,0,8.4,,S,74,18:01,30.8,50,1,SE,6,1011.7,32.4,43,7,ENE,15,1008.1
2016,1,15,Fr,14.3,21.7,34,12.2,2.7,S,54,23:04,14.5,92,8,W,19,1024.4,19.4,71,7,S,22,1024
2016,1,16,Sa,14.3,23.8,5.4,6,7.2,SE,43,9:24,19.7,66,7,SSE,20,1026.9,22.8,45,5,SSE,20,1026.1
2016,1,17,Su,16,26.1,0,5.6,11.8,SE,33,11:40,20.4,71,6,SSE,13,1025.1,25.1,49,4,ESE,22,1022.6
2016,1,18,Mo,16.7,27,0,7,13.5,NNE,35,21:49,22.1,64,2,WNW,6,1020.6,25.1,55,2,E,20,1017.7
2016,1,19,Tu,19.2,30.2,0,8,13,NNE,41,16:40,24.2,60,3,N,6,1017.4,29.2,54,3,ENE,13,1013.3
2016,1,20,We,21.9,37.5,0,11.8,10,NNE,39,17:57,27.9,39,1,ESE,4,1012.6,32.1,39,6,E,9,1009.8
2016,1,21,Th,23.6,33.5,0,11.6,6.9,SW,61,17:32,26.2,66,5,SW,4,1010.5,32.3,48,4,ENE,20,1007.4
2016,1,22,Fr,22.8,29.2,30.6,10.4,1.4,NE,30,19:40,24.9,85,7,SSW,7,1011,25.7,76,7,E,13,1006.4
2016,1,23,Sa,22.3,26,13,3.4,9.5,,,,25.6,60,3,S,17,1006.7,25.5,59,6,S,33,1008.6
2016,1,24,Su,20.8,25,0,6.6,0.6,SSE,31,23:14,21.9,73,8,SSW,11,1013.4,24.1,62,7,ESE,15,1012.1
2016,1,25,Mo,21.6,25.2,0,4.6,0,,,,23.2,73,8,E,13,1014.5,24.7,64,8,E,13,1013.3
2016,1,26,Tu,21.6,27.8,0,2.4,8.7,,,,22.9,73,8,E,11,1017.7,26.4,54,4,ENE,19,1017.3
2016,1,27,We,20.8,24.9,2.2,9.8,0.5,NE,48,21:38,24,66,6,NE,17,1016.2,24.3,63,8,NE,15,1014
2016,1,28,Th,21.4,27.6,0.4,5.6,6.7,NNE,39,23:47,23.5,74,7,N,17,1008.2,27.2,64,7,ENE,15,1004.7
2016,1,29,Fr,22.4,28.1,0,5,8.2,NW,65,12:27,26.3,72,3,NNE,11,1003.3,23.2,86,7,ESE,6,1001.9
2016,1,30,Sa,19.5,28.7,9,3,3,ESE,70,19:14,22.4,84,8,W,17,1004.9,28.1,62,7,ESE,17,1002.7
2016,1,31,Su,19.7,31.1,12.8,5.8,10,WNW,48,10:50,22.6,83,1,W,15,1004.4,31,26,5,WNW,26,1003.3
2016,2,1,Mo,21.8,26.5,0.2,8,7.4,SSE,43,17:42,26,42,5,NNW,2,1004.2,25.5,52,4,SE,15,1001.1
2016,2,2,Tu,17,27.9,2,5,12.9,SE,33,12:48,20.9,62,2,WNW,17,1006.3,26.6,45,3,ESE,24,1004
2016,2,3,We,19.3,28.3,0,7.6,10.7,SSE,43,22:07,23.4,67,5,W,4,1003.6,27.7,59,4,E,26,1002.2
2016,2,4,Th,19.1,24.8,10.8,7.6,0.8,S,59,14:15,19.7,87,8,SSW,24,1012,23.5,55,7,S,33,1012.8
2016,2,5,Fr,19.6,26.1,3.6,9.6,6.8,SSE,56,10:34,22,59,6,S,31,1017.4,23.9,56,5,SSE,39,1017.6
